Total Utts,MLU Utts,MLU Words,MLU Morphemes,FREQ types,FREQ tokens,FREQ TTR,Verbs/Utt,% Word Errors,Utt Errors,mor Words,density,% Nouns,% Plurals,% Verbs,% Aux,% 3S,% 1S/3S,% PAST,% PASTP,% PRESP,% prep|,% adv|,% conj|,% det|,% pro|,retracing[//],repetition[/],WPM,Output
13,13,14.846,16.538,90,193,0.466,2.692,0.518,0,194,0.505,15.464,0,24.227,2.062,1.546,2.577,8.763,1.546,3.608,6.701,8.763,7.216,12.371,13.918,3,1,92,1
21,21,11.952,13.333,119,251,0.474,1.571,0.398,0,253,0.553,14.625,1.581,16.601,3.162,1.186,3.953,7.905,0.791,5.138,9.091,13.834,6.324,11.462,10.672,5,11,88.5,1
8,8,13.25,14.25,59,106,0.557,2,0,0,107,0.449,19.626,0,18.692,4.673,1.869,1.869,6.542,2.804,2.804,3.738,12.15,5.607,15.888,8.411,0,0,85,1
10,10,8.3,9,40,83,0.482,1.3,2.41,0,85,0.388,21.176,0,15.294,2.353,2.353,1.176,9.412,0,2.353,9.412,9.412,3.529,23.529,7.059,1,11,0,2
13,13,11.077,12.692,67,144,0.465,1.923,0,0,157,0.471,14.65,0.637,16.561,5.096,8.917,0,0,0,4.459,9.554,8.28,3.185,14.013,10.191,2,2,0,2
17,17,10.235,12,77,174,0.443,2,0.575,0,184,0.435,16.304,2.174,19.022,6.522,9.239,0.543,1.087,0,6.522,8.696,6.522,4.348,13.043,11.957,0,4,0,2
4,4,6.25,6.75,14,25,0.56,0.75,8,0,25,0.2,36,0,12,4,12,0,0,0,4,12,4,0,24,0,2,3,22,3
11,11,9.636,11.182,55,106,0.519,1.727,4.717,0,106,0.481,20.755,0.943,20.755,2.83,5.66,1.887,7.547,2.83,2.83,7.547,6.604,4.717,16.038,7.547,3,1,86,3
9,9,10.444,12,47,94,0.5,1.889,10.638,0,97,0.433,22.68,2.062,19.588,5.155,7.216,0,3.093,0,5.155,3.093,4.124,6.186,18.557,6.186,1,1,41,3
11,11,13,14.545,40,143,0.28,1.909,0,0,147,0.32,23.129,0.68,14.286,6.803,9.524,0,0,0.68,6.122,6.122,4.762,5.442,24.49,2.721,1,0,64,3
